typeId,groupId,typeName,mass,volume,capacity,portionSize,raceId,basePrice,published,marketGroupId,iconId,soundId,graphicId
166,23,"Clone Grade Gamma",0,1,0,1,"None",45500.0000,0,"None",34,"None",0
178,83,"Carbonized Lead S",0.01,0.0025,0,100,"None",200.0000,1,113,1004,"None",1308
179,83,"Nuclear S",0.01,0.0025,0,100,"None",300.0000,1,113,1288,"None",1288
180,83,"Proton S",0.01,0.0025,0,100,"None",400.0000,1,113,1290,"None",1290
181,83,"Depleted Uranium S",0.01,0.0025,0,100,"None",500.0000,1,113,1285,"None",1285
182,83,"Titanium Sabot S",0.01,0.0025,0,100,"None",600.0000,1,113,1291,"None",1291
183,83,"Fusion S",0.01,0.0025,0,100,"None",700.0000,1,113,1287,"None",1287
184,83,"Phased Plasma S",0.01,0.0025,0,100,"None",800.0000,1,113,1289,"None",1289
185,83,"EMP S",0.01,0.0025,0,100,"None",1000.0000,1,113,1286,"None",1286
186,83,"Carbonized Lead M",0.05,0.0125,0,100,"None",800.0000,1,112,1292,"None",1292
187,83,"Nuclear M",0.05,0.0125,0,100,"None",1200.0000,1,112,1296,"None",1296
188,83,"Proton M",1,0.0125,0,100,"None",1650.0000,1,112,1298,"None",1298
189,83,"Depleted Uranium M",1,0.0125,0,100,"None",2050.0000,1,112,1293,"None",1293
190,83,"Titanium Sabot M",1,0.0125,0,100,"None",2350.0000,1,112,1299,"None",1299
191,83,"Fusion M",1,0.0125,0,100,"None",2750.0000,1,112,1295,"None",1295
192,83,"Phased Plasma M",1,0.0125,0,100,"None",3250.0000,1,112,1297,"None",1297
193,83,"EMP M",1,0.0125,0,100,"None",4000.0000,1,112,1294,"None",1294
194,83,"Carbonized Lead L",1,0.025,0,100,"None",2000.0000,1,109,1300,"None",1300
195,83,"Nuclear L",1,0.025,0,100,"None",3000.0000,1,109,1304,"None",1304
196,83,"Proton L",1,0.025,0,100,"None",4000.0000,1,109,1306,"None",1306
197,83,"Depleted Uranium L",1,0.025,0,100,"None",5000.0000,1,109,1301,"None",1301
198,83,"Titanium Sabot L",1,0.025,0,100,"None",6000.0000,1,109,1307,"None",1307
199,83,"Fusion L",1,0.025,0,100,"None",7000.0000,1,109,1303,"None",1303
200,83,"Phased Plasma L",1,0.025,0,100,"None",8000.0000,1,109,1305,"None",1305
201,83,"EMP L",1,0.025,0,100,"None",10000.0000,1,109,1302,"None",1302
202,386,"Mjolnir Cruise Missile",1250,0.05,0,100,"None",15000.0000,1,921,182,"None",20041
203,386,"Scourge Cruise Missile",1250,0.05,0,100,"None",10000.0000,1,921,183,"None",20043
204,386,"Inferno Cruise Missile",1250,0.05,0,100,"None",12500.0000,1,921,184,"None",20040
205,386,"Nova Cruise Missile",1250,0.05,0,100,"None",7500.0000,1,921,185,"None",20042
206,385,"Nova Heavy Missile",1000,0.03,0,100,"None",2000.0000,1,924,186,"None",20050
207,385,"Mjolnir Heavy Missile",1000,0.03,0,100,"None",3500.0000,1,924,187,"None",20049
208,385,"Inferno Heavy Missile",1000,0.03,0,100,"None",3000.0000,1,924,188,"None",20048
209,385,"Scourge Heavy Missile",1000,0.03,0,100,"None",2500.0000,1,924,189,"None",20051
210,384,"Scourge Light Missile",700,0.015,0,100,"None",500.0000,1,920,190,"None",20064
211,384,"Inferno Light Missile",700,0.015,0,100,"None",624.0000,1,920,191,"None",20061
212,384,"Mjolnir Light Missile",700,0.015,0,100,"None",750.0000,1,920,192,"None",20062
213,384,"Nova Light Missile",700,0.015,0,100,"None",370.0000,1,920,193,"None",20063
215,85,"Iron Charge S",0.01,0.0025,0,100,"None",200.0000,1,107,1311,"None",1311
216,85,"Tungsten Charge S",0.01,0.0025,0,100,"None",300.0000,1,107,1315,"None",1315
217,85,"Iridium Charge S",0.01,0.0025,0,100,"None",400.0000,1,107,1310,"None",1310
218,85,"Lead Charge S",0.01,0.0025,0,100,"None",500.0000,1,107,1312,"None",1312
219,85,"Thorium Charge S",0.01,0.0025,0,100,"None",600.0000,1,107,1314,"None",1314
220,85,"Uranium Charge S",0.01,0.0025,0,100,"None",700.0000,1,107,1316,"None",1316
221,85,"Plutonium Charge S",0.01,0.0025,0,100,"None",800.0000,1,107,1313,"None",1313
222,85,"Antimatter Charge S",0.01,0.0025,0,100,"None",1000.0000,1,107,1047,"None",1047
223,85,"Iron Charge M",0.05,0.0125,0,100,"None",800.0000,1,108,1319,"None",1319
224,85,"Tungsten Charge M",0.05,0.0125,0,100,"None",1100.0000,1,108,1323,"None",1323
225,85,"Iridium Charge M",0.05,0.0125,0,100,"None",1500.0000,1,108,1318,"None",1318
226,85,"Lead Charge M",0.05,0.0125,0,100,"None",1750.0000,1,108,1320,"None",1320
227,85,"Thorium Charge M",0.05,0.0125,0,100,"None",2250.0000,1,108,1322,"None",1322
228,85,"Uranium Charge M",0.05,0.0125,0,100,"None",2750.0000,1,108,1324,"None",1324
229,85,"Plutonium Charge M",0.05,0.0125,0,100,"None",3250.0000,1,108,1321,"None",1321
230,85,"Antimatter Charge M",0.05,0.0125,0,100,"None",4000.0000,1,108,1317,"None",1317
231,85,"Iron Charge L",0.1,0.025,0,100,"None",2000.0000,1,106,1327,"None",1327
232,85,"Tungsten Charge L",0.1,0.025,0,100,"None",3000.0000,1,106,1331,"None",1331
233,85,"Iridium Charge L",0.1,0.025,0,100,"None",4000.0000,1,106,1326,"None",1326
234,85,"Lead Charge L",0.1,0.025,0,100,"None",5000.0000,1,106,1328,"None",1328
235,85,"Thorium Charge L",0.1,0.025,0,100,"None",6000.0000,1,106,1330,"None",1330
236,85,"Uranium Charge L",0.1,0.025,0,100,"None",7000.0000,1,106,1332,"None",1332
237,85,"Plutonium Charge L",0.1,0.025,0,100,"None",8000.0000,1,106,1329,"None",1329
238,85,"Antimatter Charge L",0.1,0.025,0,100,"None",10000.0000,1,106,1325,"None",1325
239,86,"Radio S",1,1,0,1,"None","None",1,102,1145,"None",1145
240,86,"Microwave S",1,1,0,1,"None","None",1,102,1143,"None",1143
241,86,"Infrared S",1,1,0,1,"None","None",1,102,1144,"None",1144
242,86,"Standard S",1,1,0,1,"None","None",1,102,1142,"None",1142
243,86,"Ultraviolet S",1,1,0,1,"None","None",1,102,1141,"None",1141
244,86,"Xray S",1,1,0,1,"None","None",1,102,1140,"None",1140
245,86,"Gamma S",1,1,0,1,"None","None",1,102,1139,"None",1139
246,86,"Multifrequency S",1,1,0,1,"None","None",1,102,1131,"None",1131
247,86,"Radio M",1,1,0,1,"None","None",1,103,1145,"None",1145
248,86,"Microwave M",1,1,0,1,"None","None",1,103,1143,"None",1143
249,86,"Infrared M",1,1,0,1,"None","None",1,103,1144,"None",1144
250,86,"Standard M",1,1,0,1,"None","None",1,103,1142,"None",1142
251,86,"Ultraviolet M",1,1,0,1,"None","None",1,103,1141,"None",1141
252,86,"Xray M",1,1,0,1,"None","None",1,103,1140,"None",1140
253,86,"Gamma M",1,1,0,1,"None","None",1,103,1139,"None",1139
254,86,"Multifrequency M",1,1,0,1,"None","None",1,103,1131,"None",1131
255,86,"Radio L",1,1,0,1,"None","None",1,105,1145,"None",1145
256,86,"Microwave L",1,1,0,1,"None","None",1,105,1143,"None",1143
257,86,"Infrared L",1,1,0,1,"None","None",1,105,1144,"None",1144
258,86,"Standard L",1,1,0,1,"None","None",1,105,1142,"None",1142
259,86,"Ultraviolet L",1,1,0,1,"None","None",1,105,1141,"None",1141
260,86,"Xray L",1,1,0,1,"None","None",1,105,1140,"None",1140
261,86,"Gamma L",1,1,0,1,"None","None",1,105,1139,"None",1139
262,86,"Multifrequency L",1,1,0,1,"None","None",1,105,1131,"None",1131
263,87,"Cap Booster 25",2.5,1,0,10,"None",1000.0000,1,139,1033,"None",0
264,87,"Cap Booster 50",5,2,0,10,"None",2500.0000,1,139,1033,"None",0
265,1158,"Heavy Defender Missile I",1000,0.03,0,100,"None","None",0,"None",187,"None",20049
266,387,"Scourge Rocket",100,0.005,0,100,"None",240.0000,1,922,1350,"None",20060
267,89,"Scourge Torpedo",1500,0.05,0,100,"None",30000.0000,1,923,1346,"None",20014
269,394,"Mjolnir Auto-Targeting Light Missile I",700,0.015,0,100,4,750.0000,1,914,1336,"None",20062
270,92,"Python Mine",1,0.15,0,10,"None","None",0,"None",1007,"None",0
377,38,"Small Shield Extender I",0,5,0,1,"None","None",1,605,1044,"None",0
380,38,"Small Shield Extender II",0,5,0,1,"None","None",1,605,1044,"None",0
393,39,"Shield Recharger I",0,5,1,1,"None","None",1,126,83,"None",0
394,39,"Shield Recharger II",0,5,1,1,"None","None",1,126,83,"None",0
399,40,"Small Shield Booster I",0,5,0,1,"None","None",1,609,84,"None",0
400,40,"Small Shield Booster II",0,5,0,1,"None","None",1,609,84,"None",0
405,41,"'Micro' Remote Shield Booster",0,2.5,0,1,"None",1998.0000,1,603,86,"None",0
406,41,"Micro Remote Shield Booster II",0,2.5,0,1,"None",35736.0000,0,604,86,"None",0
421,43,"'Basic' Capacitor Recharger",1,5,0,1,"None","None",1,665,90,"None",0
434,46,"5MN Microwarpdrive I",0,10,0,1,4,31636.0000,1,131,10149,"None",0
438,46,"1MN Afterburner II",0,5,0,1,4,40566.0000,1,542,96,"None",0
439,46,"1MN Afterburner I",0,5,0,1,4,6450.0000,1,542,96,"None",0
440,46,"5MN Microwarpdrive II",0,10,0,1,4,134084.0000,1,131,10149,"None",0
442,47,"Cargo Scanner I",0,5,0,1,"None","None",1,711,106,"None",0
443,48,"Ship Scanner I",0,5,0,1,"None","None",1,713,107,"None",0
444,49,"Survey Scanner I",0,5,0,1,"None","None",1,714,2732,"None",0
447,52,"Warp Scrambler I",0,5,0,1,"None","None",1,1936,3433,"None",0
448,52,"Warp Scrambler II",0,5,0,1,"None","None",1,1936,3433,"None",0
450,53,"Gatling Pulse Laser I",500,5,1,1,"None","None",1,570,350,"None",11118
451,53,"Dual Light Pulse Laser I",500,5,1,1,"None","None",1,570,350,"None",11117
452,53,"Dual Light Beam Laser I",500,5,1,1,"None","None",1,567,352,"None",11110
453,53,"Small Focused Pulse Laser I",500,5,1,1,"None","None",1,570,350,"None",11119
454,53,"Small Focused Beam Laser I",500,5,1,1,"None","None",1,567,352,"None",11111
455,53,"Quad Light Beam Laser I",1000,10,1,1,"None","None",1,568,355,"None",11109
456,53,"Focused Medium Pulse Laser I",1000,10,1,1,"None","None",1,572,356,"None",11115
457,53,"Focused Medium Beam Laser I",1000,10,1,1,"None","None",1,568,355,"None",11107
458,53,"Heavy Pulse Laser I",1000,25,1,1,"None","None",1,572,356,"None",11116
459,53,"Heavy Beam Laser I",1000,25,1,1,"None","None",1,568,355,"None",11108
460,53,"Dual Heavy Pulse Laser I",2000,20,1,1,"None","None",1,573,360,"None",11113
461,53,"Dual Heavy Beam Laser I",2000,50,1,1,"None","None",1,569,361,"None",11043
462,53,"Mega Pulse Laser I",2000,50,1,1,"None","None",1,573,360,"None",11114
463,53,"Mega Beam Laser I",2000,50,1,1,"None","None",1,569,361,"None",11105
464,53,"Tachyon Beam Laser I",2000,50,1,1,"None","None",1,569,361,"None",11106
482,54,"Miner II",0,5,0,1,"None","None",1,1039,1061,"None",11273
483,54,"Miner I",0,5,0,1,"None","None",1,1039,1061,"None",11146
484,55,"125mm Gatling AutoCannon I",500,5,0.5,1,"None",2000.0000,1,574,387,"None",11161
485,55,"150mm Light AutoCannon I",500,5,0.4,1,"None",6000.0000,1,574,387,"None",11162
486,55,"200mm AutoCannon I",500,5,0.3,1,"None",9000.0000,1,574,387,"None",11163
487,55,"250mm Light Artillery Cannon I",500,5,0.1,1,"None",12000.0000,1,577,389,"None",11152
488,55,"280mm Howitzer Artillery I",500,5,0.05,1,"None",15000.0000,1,577,389,"None",11153
489,55,"Dual 180mm AutoCannon I",1000,10,2.5,1,"None",20000.0000,1,575,386,"None",11158
490,55,"220mm Vulcan AutoCannon I",1000,10,2,1,"None",60000.0000,1,575,386,"None",11159
491,55,"425mm AutoCannon I",1000,10,1.5,1,"None",90000.0000,1,575,386,"None",11160
492,55,"650mm Artillery Cannon I",125,25,0.5,1,"None",120000.0000,1,578,384,"None",11150
493,55,"720mm Howitzer Artillery I",50,25,0.25,1,"None",150000.0000,1,578,384,"None",11151
494,55,"Dual 425mm AutoCannon I",200,20,5,1,"None",200000.0000,1,576,381,"None",11155
495,55,"Dual 650mm Repeating Cannon I",2000,50,4,1,"None",600000.0000,1,576,381,"None",11156
496,55,"800mm Repeating Cannon I",75,25,3,1,"None",900000.0000,1,576,381,"None",11157
497,55,"1200mm Artillery Cannon I",2000,50,1,1,"None",1200000.0000,1,579,379,"None",11148
498,55,"1400mm Howitzer Artillery I",2000,50,0.5,1,"None",1500000.0000,1,579,379,"None",11149
499,509,"Light Missile Launcher I",0,5,0.6,1,"None",6000.0000,1,640,168,"None",20097
501,510,"Heavy Missile Launcher I",0,10,0.9,1,"None",30000.0000,1,642,169,"None",20081
503,508,"Torpedo Launcher I",0,20,1.5,1,"None",99996.0000,1,644,170,"None",170
506,767,"'Basic' Capacitor Power Relay",20,5,0,1,"None","None",1,667,90,"None",0
508,770,"'Basic' Shield Flux Coil",20,5,0,1,"None","None",1,687,83,"None",0
509,768,"'Basic' Capacitor Flux Coil",20,5,0,1,"None","None",1,666,90,"None",0
518,59,"'Basic' Gyrostabilizer",0,5,0,1,"None","None",1,646,1046,"None",0
519,59,"Gyrostabilizer II",0,5,0,1,"None","None",1,646,1046,"None",0
520,59,"Gyrostabilizer I",0,5,0,1,"None","None",1,646,1046,"None",0
521,60,"'Basic' Damage Control",5000,5,0,1,"None","None",1,615,77,"None",0
522,61,"'Micro' Cap Battery",0,2.5,0,1,"None","None",1,702,89,"None",0
523,62,"Small Armor Repairer I",500,5,0,1,"None","None",1,1049,80,"None",0
524,63,"Small Hull Repairer I",1000,12.5,0,1,"None","None",1,1053,21378,"None",0
526,65,"Stasis Webifier I",0,5,0,1,"None","None",1,683,1284,"None",0
527,65,"Stasis Webifier II",0,5,0,1,"None","None",1,683,1284,"None",0
529,67,"Small Remote Capacitor Transmitter I",1000,5,0,1,"None",30000.0000,1,695,1035,"None",0
530,68,"Small Energy Nosferatu I",1000,5,0,1,"None","None",1,692,1029,"None",0
533,71,"Small Energy Neutralizer I",2000,5,0,1,"None","None",1,689,1283,"None",0
561,74,"75mm Gatling Rail I",500,5,0.5,1,"None",2000.0000,1,564,349,"None",11140
562,74,"Light Electron Blaster I",500,5,0.5,1,"None",6000.0000,1,561,376,"None",11127
563,74,"Light Ion Blaster I",500,5,0.3,1,"None",9000.0000,1,561,376,"None",11128
564,74,"Light Neutron Blaster I",500,5,0.2,1,"None",12000.0000,1,561,376,"None",11129
565,74,"150mm Railgun I",500,5,0.1,1,"None",15000.0000,1,564,349,"None",11139
566,74,"Heavy Electron Blaster I",2000,10,2.5,1,"None",60000.0000,1,562,371,"None",11124
567,74,"Dual 150mm Railgun I",1000,10,2,1,"None",20000.0000,1,565,370,"None",11135
568,74,"Heavy Neutron Blaster I",1000,25,1,1,"None",120000.0000,1,562,371,"None",11126
569,74,"Heavy Ion Blaster I",1000,10,1.5,1,"None",90000.0000,1,562,371,"None",11125
570,74,"250mm Railgun I",1000,25,0.5,1,"None",150000.0000,1,565,370,"None",11137
571,74,"Electron Blaster Cannon I",2000,50,5,1,"None",600000.0000,1,563,365,"None",11121
572,74,"Dual 250mm Railgun I",2000,20,4,1,"None",200000.0000,1,566,366,"None",11132
573,74,"Neutron Blaster Cannon I",2000,50,2,1,"None",1200000.0000,1,563,365,"None",11123
574,74,"425mm Railgun I",2000,50,1,1,"None",1500000.0000,1,566,366,"None",11134
575,74,"Ion Blaster Cannon I",2000,50,3,1,"None",900000.0000,1,563,365,"None",11122
577,76,"Medium Capacitor Booster I",0,10,32,1,"None",28124.0000,1,700,1031,"None",0
578,77,"Multispectrum Shield Hardener I",10000,5,0,1,"None",75000.0000,1,1696,81,"None",0
580,80,"Burst Jammer I",5000,5,0,1,"None","None",1,678,109,"None",0
581,82,"Passive Targeter I",2000,25,0,1,"None","None",1,672,104,"None",0
582,25,"Bantam",1480000,20000,270,1,1,300000.0000,1,61,"None",20070,38
583,25,"Condor",1100000,18000,130,1,1,400000.0000,1,61,"None",20070,39
584,25,"Griffin",1056000,19400,260,1,1,300000.0000,1,61,"None",20070,40
585,25,"Slasher",1075000,17400,120,1,2,400000.0000,1,64,"None",20078,44
586,25,"Probe",1123000,19500,400,1,2,400000.0000,1,64,"None",20078,45
587,25,"Rifter",1067000,27289,140,1,2,400000.0000,1,64,"None",20078,46
588,237,"Reaper",1157000,15800,120,1,2,"None",1,1819,"None",20078,53
589,25,"Executioner",1090000,28100,115,1,4,400000.0000,1,72,"None",20063,54
590,25,"Inquisitor",1630000,28700,250,1,4,300000.0000,1,72,"None",20063,55
591,25,"Tormentor",1080000,24398,130,1,4,400000.0000,1,72,"None",20063,56
592,25,"Navitas",1450000,10000,280,1,8,300000.0000,1,77,"None",20074,59
593,25,"Tristan",1044000,26500,140,1,8,400000.0000,1,77,"None",20074,60
594,25,"Incursus",1028000,29500,165,1,8,400000.0000,1,77,"None",20074,61
595,25,"Gallente Police Ship",2040000,20400,200,1,8,"None",0,"None","None",20074,66
596,237,"Impairor",1148000,28100,115,1,4,"None",1,1816,"None",20063,299
597,25,"Punisher",1190000,28600,135,1,4,400000.0000,1,72,"None",20063,300
598,25,"Breacher",1087000,20000,175,1,2,400000.0000,1,64,"None",20078,305
599,25,"Burst",1420000,17100,260,1,2,300000.0000,1,64,"None",20078,306
600,25,"Minmatar Peacekeeper Ship",1200000,12000,80,1,2,"None",0,"None","None",20078,307
601,237,"Ibis",1163000,15000,125,1,1,"None",1,1817,"None",20070,312
602,25,"Kestrel",1113000,19700,160,1,1,400000.0000,1,61,"None",20070,313
603,25,"Merlin",997000,16500,150,1,1,400000.0000,1,61,"None",20070,314
605,25,"Heron",1150000,18900,400,1,1,400000.0000,1,61,"None",20070,316
606,237,"Velator",1148000,24500,135,1,8,"None",1,1818,"None",20074,321
607,25,"Imicus",997000,21500,400,1,8,400000.0000,1,77,"None",20074,322
608,25,"Atron",1050000,22500,145,1,8,400000.0000,1,77,"None",20074,323
609,25,"Maulus",1063000,23000,275,1,8,300000.0000,1,77,"None",20074,324
613,25,"Devourer",1200000,19100,110,1,2,"None",0,"None","None",20078,339
614,25,"Fury",1200000,26000,180,1,2,"None",0,"None","None",20078,340
615,237,"Immolator",1148000,17400,115,1,4,"None",1,2702,"None",20078,341
616,25,"Medusa",1200000,17500,30,1,2,"None",0,"None","None",20078,342
617,237,"Echo",1157000,17660,120,1,2,"None",1,2702,"None",20078,343
618,25,"Lynx",1200000,22500,200,1,2,"None",0,"None","None",20078,344
619,25,"Swordspine",1047000,21120,220,1,2,"None",0,"None","None",20078,345
620,26,"Osprey",11100000,107000,485,1,1,6400000.0000,1,75,"None",20070,41
621,26,"Caracal",11910000,92000,450,1,1,8000000.0000,1,75,"None",20070,42
622,26,"Stabber",11400000,80000,420,1,2,8000000.0000,1,73,"None",20078,47
623,26,"Moa",12000000,101000,450,1,1,8000000.0000,1,75,"None",20070,49
624,26,"Maller",13150000,118000,480,1,4,8000000.0000,1,74,"None",20063,57
625,26,"Augoror",12870000,115000,465,1,4,6400000.0000,1,74,"None",20063,58
626,26,"Vexor",11100000,115000,480,1,8,8000000.0000,1,76,"None",20074,62
627,26,"Thorax",11280000,112000,465,1,8,8000000.0000,1,76,"None",20074,63
628,26,"Arbitrator",11200000,120000,345,1,4,6400000.0000,1,74,"None",20063,298
629,26,"Rupture",12200000,96000,450,1,2,8000000.0000,1,73,"None",20077,302
630,26,"Bellicose",11550000,85000,315,1,2,8000000.0000,1,73,"None",20078,303
631,26,"Scythe",11110000,89000,475,1,2,6400000.0000,1,73,"None",20078,304
632,26,"Blackbird",13190000,96000,305,1,1,6400000.0000,1,75,"None",20070,311
633,26,"Celestis",12070000,116000,320,1,8,6400000.0000,1,76,"None",20074,319
634,26,"Exequror",11020000,113000,495,1,8,6400000.0000,1,76,"None",20074,320
635,26,"Opux Luxury Yacht",13075000,115000,1750,1,8,"None",1,1699,"None",20074,330
638,27,"Raven",99300000,486000,830,1,1,153900000.0000,1,80,"None",20068,43
639,27,"Tempest",99500000,450000,780,1,2,153900000.0000,1,78,"None",20076,48
640,27,"Scorpion",103600000,468000,690,1,1,123600000.0000,1,80,"None",20068,50
641,27,"Megathron",98400000,486000,845,1,8,153900000.0000,1,81,"None",20072,64
642,27,"Apocalypse",97100000,495000,845,1,4,153900000.0000,1,79,"None",20061,296
643,27,"Armageddon",105200000,486000,750,1,4,153900000.0000,1,79,"None",20061,297
644,27,"Typhoon",100600000,414000,780,1,2,153900000.0000,1,78,"None",20076,301
645,27,"Dominix",100250000,454500,750,1,8,153900000.0000,1,81,"None",20072,318
648,28,"Badger",10650000,250000,3900,1,1,1400000.0000,1,84,"None",20070,51
649,28,"Tayra",13000000,270000,7300,1,1,1400000.0000,1,84,"None",20070,52
650,28,"Nereus",11250000,240000,2700,1,8,1400000.0000,1,83,"None",20074,65
651,28,"Hoarder",10625000,400000,500,1,2,1400000.0000,1,82,"None",20078,308
652,28,"Mammoth",11500000,255000,5500,1,2,1400000.0000,1,82,"None",20078,309
653,28,"Wreathe",10000000,225000,2900,1,2,1400000.0000,1,82,"None",20078,310
654,28,"Kryos",12625000,245000,550,1,8,1400000.0000,1,83,"None",20074,325
655,28,"Epithal",12800000,250000,550,1,8,1400000.0000,1,83,"None",20074,326
656,28,"Miasmos",12975000,265000,550,1,8,1400000.0000,1,83,"None",20074,327
657,28,"Iteron Mark V",13500000,275000,5800,1,8,1400000.0000,1,83,"None",20074,328
670,29,"Capsule",32000,1000,0,1,16,"None",0,"None",73,20080,73
671,30,"Erebus",2100000000,145500000,16250,1,8,178800000000.0000,1,815,"None",20075,2942
672,31,"Caldari Shuttle",1600000,5000,10,1,1,7500.0000,1,396,"None",20080,317
681,104,"Clone Grade Beta Blueprint",0,0.01,0,1,"None",9999999.0000,0,"None",34,"None",0
682,104,"Clone Grade Gamma Blueprint",0,0.01,0,1,"None",9999999.0000,0,"None",34,"None",0
683,105,"Bantam Blueprint",0,0.01,0,1,"None",2550000.0000,1,261,"None","None",38
684,105,"Condor Blueprint",0,0.01,0,1,"None",2150000.0000,1,261,"None","None",39
685,105,"Griffin Blueprint",0,0.01,0,1,"None",2350000.0000,1,261,"None","None",40
686,106,"Osprey Blueprint",0,0.01,0,1,"None",80500000.0000,1,275,"None","None",41
687,106,"Caracal Blueprint",0,0.01,0,1,"None",82500000.0000,1,275,"None","None",42
688,107,"Raven Blueprint",0,0.01,0,1,"None",1135000000.0000,1,280,"None","None",43
689,105,"Slasher Blueprint",0,0.01,0,1,"None",2100000.0000,1,264,"None","None",44
690,105,"Probe Blueprint",0,0.01,0,1,"None",2700000.0000,1,264,"None","None",45
691,105,"Rifter Blueprint",0,0.01,0,1,"None",2800000.0000,1,264,"None","None",46
692,106,"Stabber Blueprint",0,0.01,0,1,"None",82000000.0000,1,273,"None","None",47
693,107,"Tempest Blueprint",0,0.01,0,1,"None",1055000000.0000,1,278,"None","None",48
784,134,"Miner II Blueprint",0,0.01,0,1,"None",10000000000.0000,1,"None",1061,"None",0
